address	data_type	value
0044fb0c	TerminatedCString	GetDlgItemTextA
0044fb1e	TerminatedCString	SetDlgItemInt
0044fb2e	TerminatedCString	SetRect
0044fb38	TerminatedCString	SetWindowTextA
0044fb4a	TerminatedCString	PeekMessageA
0044fb5a	TerminatedCString	GetScrollInfo
0044fb6a	TerminatedCString	ReleaseCapture
0044fb7c	TerminatedCString	SetCapture
0044fb8a	TerminatedCString	KillTimer
0044fb96	TerminatedCString	EndPaint
0044fba2	TerminatedCString	BeginPaint
0044fbb0	TerminatedCString	SystemParametersInfoA
0044fbc8	TerminatedCString	SetTimer
0044fbd4	TerminatedCString	InflateRect
0044fbe2	TerminatedCString	SetScrollInfo
0044fbf2	TerminatedCString	IntersectRect
0044fc02	TerminatedCString	SetScrollPos
0044fc12	TerminatedCString	GetClipboardData
0044fc26	TerminatedCString	IsClipboardFormatAvailable
0044fc44	TerminatedCString	GetSysColorBrush
0044fc56	TerminatedCString	USER32.dll
0044fc64	TerminatedCString	GetTextExtentPoint32A
0044fc7c	TerminatedCString	SelectObject
0044fc8c	TerminatedCString	CreateFontIndirectA
0044fca2	TerminatedCString	GetObjectA
0044fcb0	TerminatedCString	ExtTextOutA
0044fcbe	TerminatedCString	SetBkMode
0044fcca	TerminatedCString	SetTextColor
0044fcda	TerminatedCString	DeleteObject
0044fcea	TerminatedCString	GetStockObject
0044fcfc	TerminatedCString	GetDeviceCaps
0044fd0c	TerminatedCString	DeleteDC
0044fd18	TerminatedCString	PlayEnhMetaFile
0044fd2a	TerminatedCString	CreateCompatibleDC
0044fd40	TerminatedCString	CreateDIBSection
0044fd54	TerminatedCString	DeleteEnhMetaFile
0044fd68	TerminatedCString	CopyEnhMetaFileA
0044fd7c	TerminatedCString	GetEnhMetaFileBits
0044fd92	TerminatedCString	SetEnhMetaFileBits
0044fda8	TerminatedCString	CreateBitmap
0044fdb8	TerminatedCString	GetEnhMetaFileHeader
0044fdd0	TerminatedCString	ResetDCA
0044fddc	TerminatedCString	EndDoc
0044fde6	TerminatedCString	EndPage
0044fdf0	TerminatedCString	LineTo
0044fdfa	TerminatedCString	MoveToEx
0044fe06	TerminatedCString	CreatePen
0044fe12	TerminatedCString	TextOutA
0044fe1e	TerminatedCString	StartPage
0044fe2a	TerminatedCString	StartDocA
0044fe36	TerminatedCString	SetAbortProc
0044fe46	TerminatedCString	GetTextMetricsA
0044fe58	TerminatedCString	SetTextAlign
0044fe68	TerminatedCString	Rectangle
0044fe74	TerminatedCString	SelectClipRgn
0044fe84	TerminatedCString	CreateRectRgnIndirect
0044fe9c	TerminatedCString	CloseEnhMetaFile
0044feb0	TerminatedCString	SetBkColor
0044febe	TerminatedCString	CreateEnhMetaFileA
0044fed4	TerminatedCString	SetPixel
0044fee0	TerminatedCString	PolyBezier
0044feee	TerminatedCString	Ellipse
0044fef8	TerminatedCString	Arc
0044fefe	TerminatedCString	CreateBrushIndirect
0044ff14	TerminatedCString	CreateCompatibleBitmap
0044ff2e	TerminatedCString	BitBlt
0044ff38	TerminatedCString	PatBlt
0044ff42	TerminatedCString	CreatePatternBrush
0044ff56	TerminatedCString	GDI32.dll
0044ff62	TerminatedCString	GetOpenFileNameA
0044ff76	TerminatedCString	GetSaveFileNameA
0044ff8a	TerminatedCString	PageSetupDlgA
0044ff9a	TerminatedCString	PrintDlgA
0044ffa4	TerminatedCString	comdlg32.dll
0044ffb4	TerminatedCString	SetFileSecurityA
0044ffc8	TerminatedCString	SetSecurityDescriptorSacl
0044ffe4	TerminatedCString	SetSecurityDescriptorGroup
00450002	TerminatedCString	SetSecurityDescriptorDacl
0045001e	TerminatedCString	InitializeSecurityDescriptor
0045003e	TerminatedCString	RegCloseKey
0045004c	TerminatedCString	RegQueryValueExA
00450060	TerminatedCString	RegOpenKeyExA
0045006e	TerminatedCString	ADVAPI32.dll
0045007e	TerminatedCString	ShellExecuteA
0045008e	TerminatedCString	SHGetSpecialFolderPathA
004500a6	TerminatedCString	SHELL32.dll
004500b4	TerminatedCString	ExitProcess
004500c2	TerminatedCString	GetSystemTimeAsFileTime
004500dc	TerminatedCString	HeapReAlloc
004500ea	TerminatedCString	HeapAlloc
004500f6	TerminatedCString	ExitThread
00450104	TerminatedCString	TlsSetValue
00450112	TerminatedCString	TlsGetValue
00450120	TerminatedCString	ResumeThread
00450130	TerminatedCString	CreateThread
00450140	TerminatedCString	HeapFree
0045014c	TerminatedCString	RtlUnwind
00450158	TerminatedCString	GetStartupInfoA
0045016a	TerminatedCString	GetCommandLineA
0045017c	TerminatedCString	QueryPerformanceCounter
00450196	TerminatedCString	GetCurrentThreadId
004501ac	TerminatedCString	GetCurrentProcessId
004501c2	TerminatedCString	EnterCriticalSection
004501da	TerminatedCString	LeaveCriticalSection
004501f2	TerminatedCString	DeleteCriticalSection
0045020a	TerminatedCString	HeapDestroy
00450218	TerminatedCString	HeapCreate
00450226	TerminatedCString	VirtualFree
00450234	TerminatedCString	VirtualAlloc
00450244	TerminatedCString	IsBadWritePtr
00450254	TerminatedCString	TlsFree
0045025e	TerminatedCString	SetLastError
0045026e	TerminatedCString	TlsAlloc
0045027a	TerminatedCString	TerminateProcess
0045028e	TerminatedCString	GetCurrentProcess
004502a2	TerminatedCString	UnhandledExceptionFilter
004502be	TerminatedCString	HeapSize
004502ca	TerminatedCString	WriteFile
004502d6	TerminatedCString	ReadFile
004502e2	TerminatedCString	WideCharToMultiByte
004502f8	TerminatedCString	GetTimeZoneInformation
00450312	TerminatedCString	SetFilePointer
00450324	TerminatedCString	SetHandleCount
00450336	TerminatedCString	GetFileType
00450344	TerminatedCString	LCMapStringA
00450354	TerminatedCString	MultiByteToWideChar
0045036a	TerminatedCString	LCMapStringW
0045037a	TerminatedCString	FreeEnvironmentStringsA
00450394	TerminatedCString	GetEnvironmentStrings
004503ac	TerminatedCString	FreeEnvironmentStringsW
004503c6	TerminatedCString	GetEnvironmentStringsW
004503e0	TerminatedCString	SetStdHandle
004503f0	TerminatedCString	FlushFileBuffers
00450404	TerminatedCString	InitializeCriticalSection
00450420	TerminatedCString	GetCPInfo
0045042c	TerminatedCString	GetLocaleInfoA
0045043e	TerminatedCString	GetStringTypeA
00450450	TerminatedCString	GetStringTypeW
00450462	TerminatedCString	GetACP
0045046c	TerminatedCString	GetOEMCP
00450478	TerminatedCString	SetUnhandledExceptionFilter
00450496	TerminatedCString	IsBadReadPtr
004504a6	TerminatedCString	IsBadCodePtr
004504b6	TerminatedCString	VirtualProtect
004504c8	TerminatedCString	GetSystemInfo
004504d8	TerminatedCString	VirtualQuery
004504e8	TerminatedCString	SetEndOfFile
004504f8	TerminatedCString	CompareStringA
0045050a	TerminatedCString	CompareStringW
0045051c	TerminatedCString	SetEnvironmentVariableA
0045106c	string	logic.friday@sontrak.com
00451170	string	mailto:logic.friday@sontrak.com
00451384	string	www.sontrak.com
00451488	string	http://www.sontrak.com
004516aa	string	New...
0045173a	string	Print
004517fa	string	Paste
004518ba	string	Minimize...
004518ea	string	Map to Gates...
0045191a	string	Zoom In
0045194a	string	Zoom Out
0046eca0	IMAGE_RESOURCE_DIR_STRING_U_20	
0046ecb6	IMAGE_RESOURCE_DIR_STRING_U_20	
0046eccc	IMAGE_RESOURCE_DIR_STRING_U_24	
0046ece6	IMAGE_RESOURCE_DIR_STRING_U_18	
0046ecfa	IMAGE_RESOURCE_DIR_STRING_U_18	
0046ed0e	IMAGE_RESOURCE_DIR_STRING_U_22	
0046ed26	IMAGE_RESOURCE_DIR_STRING_U_14	
0046ed36	IMAGE_RESOURCE_DIR_STRING_U_14	
0046ed46	IMAGE_RESOURCE_DIR_STRING_U_18	
0046ed5a	IMAGE_RESOURCE_DIR_STRING_U_16	
0046ed6c	IMAGE_RESOURCE_DIR_STRING_U_20	
0046ed82	IMAGE_RESOURCE_DIR_STRING_U_26	
0046ed9e	IMAGE_RESOURCE_DIR_STRING_U_20	
0046edb4	IMAGE_RESOURCE_DIR_STRING_U_20	
0046edca	IMAGE_RESOURCE_DIR_STRING_U_24	
0046ede4	IMAGE_RESOURCE_DIR_STRING_U_22	
0046edfc	IMAGE_RESOURCE_DIR_STRING_U_20	
0046ee12	IMAGE_RESOURCE_DIR_STRING_U_24	
0046ee2c	IMAGE_RESOURCE_DIR_STRING_U_20	
0046ee42	IMAGE_RESOURCE_DIR_STRING_U_24	
0046ee5c	IMAGE_RESOURCE_DIR_STRING_U_18	
0046ee70	IMAGE_RESOURCE_DIR_STRING_U_18	
0046ee84	IMAGE_RESOURCE_DIR_STRING_U_16	
0046ee96	IMAGE_RESOURCE_DIR_STRING_U_16	
0046eea8	IMAGE_RESOURCE_DIR_STRING_U_14	
0046eeb8	IMAGE_RESOURCE_DIR_STRING_U_14	
0046eec8	IMAGE_RESOURCE_DIR_STRING_U_20	
0046eede	IMAGE_RESOURCE_DIR_STRING_U_18	
0046eef2	IMAGE_RESOURCE_DIR_STRING_U_14	
0046ef02	IMAGE_RESOURCE_DIR_STRING_U_12	
0046ef10	IMAGE_RESOURCE_DIR_STRING_U_24	
0046ef2a	IMAGE_RESOURCE_DIR_STRING_U_16	
0046ef3c	IMAGE_RESOURCE_DIR_STRING_U_18	
0046ef50	IMAGE_RESOURCE_DIR_STRING_U_18	
004707ae	unicode	&File
004707ea	unicode	Truth &Table
00470812	unicode	Logic &Equation
00470842	unicode	Gate &Diagram
0047086e	unicode	&Open...
0047088e	unicode	&Close
004708d6	unicode	Save &As...
0047090e	unicode	&Import Truth Table...
0047094a	unicode	Export &Truth Table...
00470986	unicode	Export &Gate Diagram...
004709d6	unicode	&Print...
00470a26	unicode	&Operation
00470a4e	unicode	&Minimize...
00470a76	unicode	Map to &Gates...
00470aa6	unicode	Generate C &Lookup Function...
00470b02	unicode	Clo&ne Function
00470b42	unicode	Compa&re Functions
00470b76	unicode	&OR Functions
00470ba2	unicode	&AND Functions
00470bce	unicode	&XOR Functions
00470c0a	unicode	&Cancel Esc
00470c32	unicode	T&ruthtable
00470c5e	unicode	&Modify Truth Table
00470ca6	unicode	Show Tr&ue and Don't Care
00470cea	unicode	Show All &Rows
00470d26	unicode	Select &All
00470d96	unicode	&Don't Care
00470dbe	unicode	&Invert
00470dee	unicode	&Submit Enter
00470e1a	unicode	&Cancel Esc
00470e42	unicode	&Equation
00470e6a	unicode	&Modify Equation
00470eaa	unicode	Sum of Produc&ts
00470eda	unicode	Pro&duct of Sums
00470f0a	unicode	&Factor
00471016	unicode	&Delete Del
0047103e	unicode	Select &All Ctrl+A
00471082	unicode	&Submit Enter
004710d6	unicode	&Gates
004710f6	unicode	&Modify Gate Diagram
0047113e	unicode	&Copy to Clipboard
00471172	unicode	IC &Package Info...
004711aa	unicode	&Trace Gate Logic
004711ee	unicode	&Auto Redraw Diagram
00471256	unicode	Zoom &Out
0047127a	unicode	&Zoom All
004712ae	unicode	&Delete Selected
004712ee	unicode	&Submit Enter
00471362	unicode	&Unminimized
0047138a	unicode	&Minimized
004713ce	unicode	&Verify Solutions
00471402	unicode	&Log Ops
00471432	unicode	&Test Minimize
0047145e	unicode	Test &All 4-var
0047148e	unicode	Test Random Large Probs
004714ce	unicode	Test All Diag &In
00471502	unicode	Verify &Lookup Fcn
00471536	unicode	&Draw All Gates
00471566	unicode	Properties
0047158a	unicode	Randomize TT
004715b2	unicode	Minimize Time
004715de	unicode	Test Equations
0047162a	unicode	&Help Contents
00471666	unicode	&About Logic Friday...
0047c416	unicode	VS_VERSION_INFO
0047c46c	StringFileInfo	
0047c472	TerminatedUnicode	StringFileInfo
0047c490	StringTable	
0047c496	TerminatedUnicode	040904b0
0047c4a8	StringInfo	
0047c4ae	TerminatedUnicode	FileDescription
0047c4d0	TerminatedUnicode	Logic Friday 1.1.4
0047c4f8	StringInfo	
0047c4fe	TerminatedUnicode	FileVersion
0047c518	TerminatedUnicode	1, 1, 4, 0
0047c530	StringInfo	
0047c536	TerminatedUnicode	InternalName
0047c550	TerminatedUnicode	LTK
0047c558	StringInfo	
0047c55e	TerminatedUnicode	LegalCopyright
0047c57c	TerminatedUnicode	Copyright (C) 2006-2012
0047c5ac	StringInfo	
0047c5b2	TerminatedUnicode	OriginalFilename
0047c5d4	TerminatedUnicode	logicfriday.exe
0047c5f4	StringInfo	
0047c5fa	TerminatedUnicode	ProductName
0047c614	TerminatedUnicode	 LTK Application
0047c638	StringInfo	
0047c63e	TerminatedUnicode	ProductVersion
0047c65c	TerminatedUnicode	1, 1, 4, 0
0047c67a	TerminatedUnicode	VarFileInfo
0047c69a	TerminatedUnicode	Translation
